Index,"Region, subregion, country or area","Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
144,Russian Federation,643,"   44,1","   49,0","   53,7","   58,2","   62,5","   66,4","   69,8","   71,9","   73,4","   73,4","   73,4","   73,5","   73,7","   74,1","   74,8","   75,8","   77,1","   78,6","   80,3","   81,9","   83,3"
145,Slovakia,703,"   30,0","   31,7","   33,5","   37,0","   41,1","   46,3","   51,6","   54,2","   56,5","   56,5","   56,2","   55,6","   54,7","   53,9","   53,8","   54,3","   55,6","   57,6","   60,2","   63,0","   65,7"
146,Ukraine,804,"   35,5","   41,4","   46,8","   50,6","   54,8","   58,4","   61,7","   64,7","   66,8","   67,0","   67,1","   67,8","   68,6","   69,1","   69,6","   70,5","   71,7","   73,2","   74,9","   76,8","   78,6"
147,Northern Europe,924,"   69,7","   70,6","   71,6","   72,7","   73,8","   75,2","   76,4","   76,8","   77,1","   77,5","   77,9","   78,9","   80,1","   81,4","   82,6","   83,8","   85,0","   86,1","   87,2","   88,3","   89,2"
148,Channel Islands,830,"   41,4","   40,0","   38,7","   37,4","   36,1","   34,2","   32,2","   31,8","   31,4","   30,5","   30,5","   30,7","   31,1","   31,0","   31,0","   31,4","   32,2","   33,4","   35,2","   37,2","   39,4"
149,Denmark,208,"   68,0","   69,6","   73,7","   77,0","   79,7","   82,1","   83,7","   84,4","   84,8","   85,0","   85,1","   85,9","   86,8","   87,5","   88,1","   88,8","   89,4","   90,2","   90,9","   91,6","   92,3"
150,Estonia,233,"   49,7","   53,6","   57,5","   61,3","   64,9","   67,6","   69,7","   70,8","   71,2","   70,3","   69,4","   68,7","   68,1","   68,4","   69,2","   70,2","   71,4","   72,8","   74,3","   75,8","   77,3"
151,Faeroe Islands,234,"   17,4","   18,6","   21,4","   25,6","   28,0","   30,3","   31,2","   30,8","   30,6","   34,1","   36,3","   39,8","   40,9","   41,6","   42,4","   43,4","   44,8","   46,4","   48,3","   50,5","   52,7"
152,Finland,246,"   43,0","   49,1","   55,3","   59,7","   63,7","   67,8","   71,7","   75,8","   79,4","   81,0","   82,2","   82,9","   83,8","   85,2","   85,5","   86,0","   86,6","   87,4","   88,2","   89,2","   90,0"
153,Iceland,352,"   72,8","   76,8","   80,3","   82,7","   84,9","   86,7","   88,3","   89,6","   90,8","   91,6","   92,4","   93,0","   93,6","   93,7","   93,9","   94,1","   94,4","   94,8","   95,1","   95,5","   95,8"
154,Ireland,372,"   40,1","   43,7","   45,2","   46,2","   51,3","   53,6","   55,3","   56,3","   56,9","   57,9","   59,2","   60,5","   61,5","   62,5","   63,7","   65,1","   66,8","   68,7","   70,8","   73,0","   75,1"
155,Isle of Man,833,"   52,9","   54,0","   55,1","   56,3","   55,8","   52,4","   51,8","   51,8","   51,7","   51,8","   51,8","   51,9","   52,0","   52,2","   52,9","   54,0","   55,4","   57,2","   59,3","   61,4","   63,4"
156,Latvia,428,"   46,4","   49,5","   52,9","   56,8","   60,7","   64,2","   67,1","   68,6","   69,3","   68,8","   68,1","   68,0","   67,8","   68,0","   68,3","   69,0","   69,9","   71,2","   72,7","   74,4","   75,9"
157,Lithuania,440,"   28,8","   34,1","   39,5","   44,5","   49,6","   55,7","   61,2","   65,0","   67,6","   67,3","   67,0","   66,6","   66,8","   67,2","   68,0","   69,2","   70,6","   72,4","   74,3","   76,2","   78,1"
158,Norway,578,"   50,5","   50,2","   49,9","   57,6","   65,4","   68,2","   70,5","   71,3","   72,0","   73,8","   76,0","   77,7","   79,1","   81,1","   83,0","   84,6","   86,1","   87,3","   88,4","   89,4","   90,2"
159,Sweden,752,"   65,7","   69,3","   72,5","   77,1","   81,0","   82,7","   83,1","   83,1","   83,1","   83,8","   84,0","   84,3","   85,1","   86,6","   88,0","   89,2","   90,3","   91,2","   91,9","   92,6","   93,2"
160,United Kingdom,826,"   79,0","   78,7","   78,4","   77,8","   77,1","   77,7","   78,5","   78,4","   78,1","   78,4","   78,7","   79,9","   81,3","   82,6","   83,9","   85,1","   86,3","   87,4","   88,4","   89,3","   90,2"
161,Southern Europe,925,"   46,2","   48,7","   51,3","   54,7","   58,3","   60,7","   62,8","   63,8","   64,6","   65,6","   66,4","   67,8","   69,2","   70,6","   72,1","   73,8","   75,4","   77,2","   78,9","   80,5","   82,1"
162,Albania,8,"   20,5","   26,9","   30,7","   31,2","   31,7","   32,7","   33,8","   35,1","   36,4","   38,9","   41,7","   46,7","   52,2","   57,4","   62,1","   66,1","   69,5","   72,2","   74,3","   76,3","   78,2"
163,Andorra,20,"   38,8","   48,6","   58,5","   70,4","   80,2","   87,3","   92,1","   95,2","   94,7","   93,7","   92,4","   90,3","   88,8","   88,3","   87,9","   87,7","   87,8","   88,2","   88,7","   89,5","   90,2"
164,Bosnia and Herzegovina,70,"   13,7","   16,2","   19,0","   22,8","   27,2","   31,3","   35,5","   37,6","   39,2","   40,8","   42,4","   44,0","   45,6","   47,2","   49,0","   51,2","   53,6","   56,2","   59,0","   61,9","   64,6"
165,Croatia,191,"   22,3","   26,0","   30,2","   35,0","   40,2","   43,9","   47,3","   49,3","   51,0","   52,3","   53,4","   54,3","   55,2","   56,2","   57,6","   59,3","   61,5","   63,9","   66,4","   68,9","   71,3"
166,Gibraltar,292,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
167,Greece,300,"   52,2","   54,1","   55,9","   60,0","   64,2","   66,9","   69,3","   70,5","   71,5","   72,1","   72,7","   74,5","   76,3","   78,0","   79,7","   81,3","   82,8","   84,1","   85,4","   86,6","   87,7"
168,Holy See,336,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
169,Italy,380,"   54,1","   56,9","   59,4","   61,8","   64,3","   65,6","   66,6","   66,8","   66,7","   66,9","   67,2","   67,7","   68,3","   69,6","   71,0","   72,6","   74,3","   76,0","   77,7","   79,5","   81,1"
170,Malta,470,"   88,9","   89,8","   90,1","   89,8","   89,7","   89,7","   89,8","   89,8","   90,4","   90,9","   92,4","   93,6","   94,1","   94,4","   94,7","   95,1","   95,4","   95,7","   96,0","   96,3","   96,6"
171,Montenegro,499,"   12,7","   15,5","   18,8","   22,6","   26,9","   31,6","   36,8","   42,3","   48,0","   53,4","   58,5","   62,5","   64,1","   65,8","   67,5","   69,2","   70,9","   72,5","   74,2","   75,8","   77,3"
172,Portugal,620,"   31,2","   33,0","   35,0","   36,9","   38,8","   40,8","   42,8","   45,3","   47,9","   51,1","   54,4","   57,5","   60,6","   63,5","   66,3","   68,9","   71,4","   73,6","   75,6","   77,5","   79,3"
173,San Marino,674,"   43,2","   46,0","   48,9","   54,4","   59,8","   71,5","   81,2","   88,3","   90,4","   91,7","   93,4","   94,5","   95,7","   96,7","   97,5","   98,0","   98,4","   98,6","   98,8","   98,9","   99,0"
174,Serbia,688,"   20,3","   24,4","   29,1","   34,2","   39,7","   43,1","   46,1","   48,3","   50,4","   51,7","   52,8","   53,9","   55,0","   55,7","   56,4","   57,6","   59,3","   61,3","   63,7","   66,3","   68,8"
175,Slovenia,705,"   19,9","   23,8","   28,2","   32,5","   37,0","   42,4","   48,0","   49,6","   50,4","   50,6","   50,8","   51,5","   52,7","   53,8","   55,1","   56,8","   58,8","   61,1","   63,6","   66,2","   68,8"
176,Spain,724,"   51,9","   54,2","   56,6","   61,3","   66,0","   69,6","   72,8","   74,2","   75,4","   75,9","   76,3","   77,3","   78,4","   79,6","   80,8","   82,1","   83,3","   84,6","   85,8","   86,9","   88,0"
177,TFYR Macedonia,807,"   23,4","   28,4","   34,0","   40,4","   47,1","   50,6","   53,5","   55,7","   57,8","   59,6","   58,5","   57,5","   57,1","   57,4","   58,5","   60,3","   62,7","   65,4","   68,0","   70,4","   72,8"
178,Western Europe,926,"   64,6","   66,5","   68,6","   70,6","   72,1","   72,9","   73,4","   73,5","   74,0","   74,9","   76,0","   77,3","   78,5","   79,4","   80,2","   81,2","   82,2","   83,4","   84,6","   85,9","   87,0"
179,Austria,40,"   63,6","   64,2","   64,7","   65,0","   65,3","   65,3","   65,4","   64,3","   63,0","   61,6","   60,2","   58,8","   57,4","   57,7","   58,7","   60,1","   61,8","   63,8","   66,1","   68,5","   70,9"
180,Belgium,56,"   91,5","   92,0","   92,5","   93,1","   93,8","   94,5","   95,4","   95,9","   96,4","   96,8","   97,1","   97,4","   97,7","   97,9","   98,1","   98,3","   98,4","   98,6","   98,7","   98,8","   98,9"
181,France,250,"   55,2","   58,2","   61,9","   67,1","   71,1","   72,9","   73,3","   73,7","   74,1","   74,9","   75,9","   77,1","   78,4","   79,7","   81,0","   82,3","   83,6","   84,9","   86,2","   87,3","   88,3"
182,Germany,276,"   67,9","   69,7","   71,4","   72,0","   72,3","   72,6","   72,8","   72,7","   73,1","   73,9","   75,0","   76,0","   77,0","   77,2","   77,5","   78,0","   78,9","   80,1","   81,5","   83,0","   84,3"
183,Liechtenstein,438,"   19,9","   20,4","   20,4","   19,5","   18,5","   18,3","   18,3","   17,6","   16,9","   16,5","   15,1","   14,7","   14,5","   14,3","   14,4","   14,8","   15,5","   16,5","   17,8","   19,2","   20,7"
184,Luxembourg,442,"   67,2","   68,4","   69,6","   72,0","   74,4","   77,3","   80,0","   80,7","   80,9","   82,9","   84,2","   86,6","   88,5","   90,2","   91,5","   92,4","   93,2","   93,8","   94,3","   94,7","   95,1"
185,Monaco,492,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
