Index,"Region, subregion, country or area","Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
230,Colombia,170,"   32,6","   39,2","   46,3","   52,8","   56,6","   60,3","   63,7","   67,0","   69,5","   71,8","   74,0","   76,0","   78,0","   79,8","   81,4","   82,9","   84,3","   85,6","   86,7","   87,8","   88,8"
231,Ecuador,218,"   28,3","   31,0","   33,9","   36,6","   39,3","   42,4","   47,0","   51,2","   55,1","   57,8","   60,3","   61,7","   62,7","   63,4","   64,2","   65,3","   66,7","   68,5","   70,5","   72,7","   74,8"
232,Falkland Islands (Malvinas),238,"   51,1","   50,8","   50,5","   51,8","   54,0","   56,3","   58,7","   64,0","   74,2","   66,0","   67,6","   70,8","   73,7","   76,3","   78,5","   80,4","   82,0","   83,4","   84,5","   85,5","   86,5"
233,French Guiana,254,"   53,7","   58,6","   63,3","   65,7","   67,4","   69,1","   70,8","   72,7","   74,6","   77,0","   79,1","   81,1","   82,9","   84,5","   85,8","   87,0","   87,9","   88,8","   89,6","   90,3","   91,0"
234,Guyana,328,"   28,0","   28,5","   29,0","   29,2","   29,4","   30,0","   30,5","   30,0","   29,6","   29,1","   28,7","   27,8","   26,6","   26,4","   26,8","   27,5","   28,6","   30,0","   31,9","   33,9","   36,0"
235,Paraguay,600,"   34,6","   35,1","   35,6","   36,2","   37,1","   39,0","   41,7","   45,0","   48,7","   52,1","   55,3","   57,6","   59,3","   60,8","   62,2","   63,8","   65,7","   67,7","   69,9","   72,1","   74,3"
236,Peru,604,"   41,0","   43,9","   46,8","   51,9","   57,4","   61,5","   64,6","   66,9","   68,9","   71,0","   73,0","   75,0","   76,4","   77,4","   78,3","   79,4","   80,5","   81,8","   83,1","   84,4","   85,7"
237,Suriname,740,"   46,9","   47,1","   47,3","   47,1","   45,9","   53,7","   65,0","   65,3","   65,7","   66,1","   66,4","   66,7","   66,3","   66,1","   66,1","   66,7","   67,6","   69,0","   70,6","   72,4","   74,0"
238,Uruguay,858,"   77,9","   79,1","   80,2","   81,3","   82,4","   83,4","   85,4","   87,2","   89,0","   90,5","   92,0","   93,3","   94,4","   95,0","   95,5","   95,9","   96,3","   96,6","   96,9","   97,2","   97,4"
239,Venezuela (Bolivarian Republic of),862,"   47,3","   54,6","   61,6","   67,0","   71,9","   75,8","   79,2","   81,9","   84,3","   86,0","   87,6","   88,0","   88,1","   88,2","   88,3","   88,6","   89,0","   89,6","   90,4","   91,1","   91,9"
240,NORTHERN AMERICA,905,"   63,9","   67,0","   69,9","   72,0","   73,8","   73,8","   73,9","   74,7","   75,4","   77,3","   79,1","   80,0","   80,8","   81,6","   82,6","   83,6","   84,7","   85,8","   86,9","   88,0","   89,0"
241,Bermuda,60,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
242,Canada,124,"   60,9","   65,7","   69,1","   72,9","   75,7","   75,6","   75,7","   76,4","   76,6","   77,7","   79,5","   80,1","   80,9","   81,3","   81,6","   82,1","   82,9","   83,8","   85,0","   86,2","   87,3"
243,Greenland,304,"   49,0","   53,8","   58,5","   66,1","   72,7","   74,4","   76,1","   78,0","   79,7","   80,9","   81,6","   82,9","   84,4","   86,1","   87,3","   88,4","   89,3","   90,1","   90,9","   91,5","   92,1"
244,Saint Pierre and Miquelon,666,"   80,0","   83,5","   86,4","   87,8","   88,4","   88,9","   89,5","   89,3","   88,9","   88,9","   89,1","   89,9","   89,9","   89,9","   90,0","   90,2","   90,5","   91,0","   91,6","   92,2","   92,7"
245,United States of America,840,"   64,2","   67,2","   70,0","   71,9","   73,6","   73,7","   73,7","   74,5","   75,3","   77,3","   79,1","   79,9","   80,8","   81,7","   82,7","   83,7","   84,9","   86,0","   87,1","   88,2","   89,2"
246,OCEANIA,909,"   62,5","   64,7","   66,9","   68,5","   70,2","   70,9","   70,9","   70,5","   70,3","   69,5","   68,3","   68,0","   68,1","   68,1","   68,2","   68,5","   68,9","   69,4","   70,2","   71,1","   72,1"
247,Australia/New Zealand,927,"   76,2","   78,3","   80,5","   82,3","   83,5","   84,4","   85,2","   85,3","   85,3","   85,0","   84,5","   84,9","   85,3","   85,8","   86,3","   86,9","   87,7","   88,5","   89,3","   90,2","   91,0"
248,Australia,36,"   77,0","   79,4","   81,5","   83,1","   84,0","   84,8","   85,6","   85,6","   85,4","   84,9","   84,2","   84,6","   85,2","   85,7","   86,2","   86,9","   87,6","   88,4","   89,3","   90,2","   91,0"
249,New Zealand,554,"   72,5","   73,6","   76,0","   78,9","   81,1","   82,8","   83,4","   83,7","   84,7","   85,6","   86,0","   86,3","   86,2","   86,3","   86,7","   87,2","   87,8","   88,6","   89,4","   90,3","   91,1"
250,Melanesia,928,"   5,7","   7,0","   8,8","   11,1","   14,9","   17,0","   18,0","   18,8","   19,8","   19,5","   18,9","   18,9","   19,0","   19,2","   19,6","   20,3","   21,4","   22,8","   24,7","   26,8","   29,1"
251,Fiji,242,"   24,4","   26,9","   29,7","   32,6","   34,8","   36,7","   37,8","   38,5","   41,6","   45,5","   47,9","   49,9","   52,2","   54,7","   57,2","   59,7","   62,0","   64,1","   66,2","   68,1","   69,9"
252,New Caledonia,540,"   24,6","   30,6","   37,4","   44,6","   51,2","   55,2","   57,4","   58,8","   59,6","   60,3","   61,9","   64,0","   67,1","   69,4","   71,5","   73,5","   75,3","   76,9","   78,4","   79,8","   81,1"
253,Papua New Guinea,598,"   1,7","   2,5","   3,7","   5,5","   9,8","   11,9","   13,0","   14,0","   15,0","   14,1","   13,2","   13,1","   13,0","   13,0","   13,3","   14,1","   15,2","   16,8","   19,0","   21,4","   24,0"
254,Solomon Islands,90,"   3,8","   4,7","   5,8","   7,2","   8,9","   9,1","   10,6","   12,4","   13,7","   14,7","   15,8","   17,8","   20,0","   22,4","   24,7","   26,9","   29,1","   31,2","   33,2","   35,2","   37,3"
255,Vanuatu,548,"   8,8","   9,5","   10,4","   11,3","   12,3","   13,4","   14,7","   16,7","   18,7","   20,2","   21,7","   23,1","   24,5","   25,0","   25,5","   26,3","   27,4","   28,7","   30,4","   32,3","   34,4"
256,Micronesia,954,"   30,7","   33,6","   36,8","   40,7","   45,6","   56,3","   60,5","   61,4","   62,2","   63,6","   65,6","   65,9","   66,6","   67,9","   69,2","   70,4","   71,5","   72,6","   73,6","   74,6","   75,5"
257,Guam,316,"   41,3","   45,7","   50,1","   55,5","   61,9","   83,6","   93,8","   92,3","   90,8","   92,1","   93,1","   93,6","   94,1","   94,5","   94,9","   95,3","   95,7","   96,0","   96,3","   96,6","   96,8"
258,Kiribati,296,"   11,0","   13,4","   16,3","   19,6","   24,1","   29,6","   32,3","   33,5","   35,0","   36,4","   43,0","   43,6","   47,4","   51,6","   55,6","   59,1","   62,2","   64,8","   66,9","   68,8","   70,6"
259,Marshall Islands,584,"   23,3","   29,1","   35,6","   42,7","   53,5","   60,6","   58,3","   61,9","   65,1","   66,7","   68,6","   71,1","   73,6","   75,8","   77,8","   79,5","   81,1","   82,4","   83,6","   84,7","   85,7"
260,Micronesia (Fed. States of),583,"   20,0","   21,1","   22,3","   23,5","   24,8","   25,9","   26,4","   26,1","   25,8","   25,1","   22,3","   22,3","   22,3","   22,5","   22,9","   23,7","   24,9","   26,5","   28,3","   30,2","   32,2"
261,Nauru,520,"   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
262,Northern Mariana Islands,580,"   42,0","   45,8","   51,2","   58,8","   70,1","   80,6","   86,8","   88,4","   89,7","   89,6","   90,2","   90,6","   90,9","   91,4","   91,8","   92,3","   92,8","   93,3","   93,7","   94,2","   94,6"
263,Palau,585,"   53,9","   55,4","   56,8","   58,3","   59,7","   61,1","   62,5","   67,4","   69,6","   71,4","   70,3","   71,2","   74,8","   78,2","   81,0","   83,3","   85,0","   86,4","   87,5","   88,4","   89,2"
264,Polynesia,957,"   23,0","   26,3","   28,6","   31,1","   34,3","   36,4","   37,7","   39,3","   40,8","   41,6","   42,7","   43,5","   44,3","   44,5","   44,4","   44,5","   45,0","   45,7","   46,7","   47,9","   49,3"
265,American Samoa,16,"   61,8","   64,0","   66,2","   68,3","   70,4","   72,4","   74,3","   77,8","   80,9","   85,3","   88,6","   88,1","   87,6","   87,2","   87,2","   87,3","   87,8","   88,5","   89,3","   90,1","   90,8"
266,Cook Islands,184,"   38,0","   42,2","   46,5","   50,8","   53,3","   54,0","   53,8","   55,2","   57,7","   58,7","   65,2","   71,0","   73,3","   74,4","   75,5","   76,6","   77,8","   79,1","   80,3","   81,6","   82,8"
267,French Polynesia,258,"   33,3","   37,7","   42,3","   48,2","   55,2","   58,3","   59,0","   58,6","   57,9","   56,6","   56,0","   57,4","   60,3","   61,7","   62,0","   62,6","   63,5","   64,7","   66,3","   68,1","   69,9"
268,Niue,570,"   21,5","   21,5","   21,5","   21,5","   21,1","   23,4","   27,0","   31,0","   30,9","   31,5","   33,1","   35,2","   38,7","   42,6","   46,2","   49,5","   52,5","   55,0","   57,2","   59,3","   61,4"
269,Samoa,882,"   12,9","   17,4","   18,9","   19,3","   20,4","   21,0","   21,2","   21,2","   21,2","   21,5","   22,0","   21,2","   20,1","   18,9","   17,9","   17,4","   17,3","   17,7","   18,6","   20,0","   21,5"
270,Tokelau,772,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
271,Tonga,776,"   12,9","   15,5","   17,6","   19,5","   20,2","   20,3","   21,2","   22,3","   22,7","   22,9","   23,0","   23,2","   23,4","   23,3","   23,1","   23,3","   23,8","   24,8","   26,1","   27,9","   29,8"
272,Tuvalu,798,"   11,2","   13,4","   15,9","   18,8","   22,1","   25,8","   29,8","   34,3","   40,7","   44,0","   46,0","   49,7","   54,8","   59,7","   64,0","   67,6","   70,5","   72,8","   74,5","   76,1","   77,6"
273,Wallis and Futuna Islands,876,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
